name,category,address,city,postal_code,province,phone,website,email,latitude,longitude,source,place_id
Vogue Optical,optician,,,,Nova Scotia,,,,44.6462392,-63.5937935,OpenStreetMap,osm/node/11577557949
Vogue Optical,optometry,,,,Nova Scotia,,,,46.4169587,-63.7789725,OpenStreetMap,osm/node/12408437593
Vogue Optical,optician,,,,Nova Scotia,,,,46.1187898,-60.1892133,OpenStreetMap,osm/node/13327210779
Vogue Optical,optometry,230 Belvedere Avenue,,C1A 6X8,Nova Scotia,+1-902-566-2020;+1-877-489-2020,https://vogueoptical.com/,,46.2586055,-63.1198282,OpenStreetMap,osm/way/361875735
Vogue Optical,optician,4 Robert Angus Drive,Amherst,,Nova Scotia,+1-902-667-7800,,,45.8137167,-64.2015125,OpenStreetMap,osm/node/2475795048
All About Eyewear Optical,optician,961 Bedford Highway,Bedford,B4A 1A9,Nova Scotia,+1-902-835-4426,http://www.allabouteyewear.ca,,44.715933,-63.6763576,OpenStreetMap,osm/node/4881717736
Bedford eye care,optician,36 Duke Street,Bedford,B4A 2Z5,Nova Scotia,+1-902-835-2020,https://bedfordeyecare.net,,44.7473423,-63.6371071,OpenStreetMap,osm/node/4852888521
Hakim Optical,optician,1509 Bedford Highway,Bedford,B4A 1E3,Nova Scotia,,,,44.7311987,-63.6589136,OpenStreetMap,osm/node/480534490
Boyle's Optical,optician,85 Belvedere Avenue,Charlottetown,C1A 6B2,Nova Scotia,,,,46.2515879,-63.1415588,OpenStreetMap,osm/node/12122524415
Matheson Eyewear,optician,6 Mount Edward Road,Charlottetown,,Nova Scotia,+1-902-892-2020,https://mathesoneyewear.com/,ineedglasses@mathesoneyewear.com,46.2474818,-63.1238478,OpenStreetMap,osm/node/7033960414
Vogue Optical,optician,134 Kent Street,Charlottetown,,Nova Scotia,,,,46.2355227,-63.1284247,OpenStreetMap,osm/node/3980228680
Family Vision Clinic,optometry,50 Tacoma Drive,Dartmouth,,Nova Scotia,+1 902-434-1231,,,44.6798863,-63.5394888,OpenStreetMap,osm/node/8600672524
Hakim Optical,optician,21 Micmac Boulevard,Dartmouth,B3A 4K0,Nova Scotia,,,,44.6861682,-63.5589986,OpenStreetMap,osm/node/8066924810
Sunglass Hut,optician,21 Micmac Boulevard,Dartmouth,B3A 4K0,Nova Scotia,,,,44.6857414,-63.559412,OpenStreetMap,osm/node/8066858657
Elmsdale Vision Centre,optician,345 Highway 214,Elmsdale,B2S 2L1,Nova Scotia,+1-902-883-2221,https://www.elmsdalevisioncentre.com/,,44.9821541,-63.509274,OpenStreetMap,osm/node/4264071890
Vogue Optical,optician,269 Highway 214,Elmsdale,B2S 1K1,Nova Scotia,+1 902-883-4354,https://vogueoptical.com/find-store/elmsdale/,,44.9773787,-63.5048609,OpenStreetMap,osm/node/4393650243
Atlantic Eye Centre,optician,5691 Spring Garden Road,Halifax,,Nova Scotia,,,,44.6424686,-63.5795486,OpenStreetMap,osm/node/3791877757
Butler Opticians,optician,7001 Mumford Road,Halifax,,Nova Scotia,,,,44.6494715,-63.6175343,OpenStreetMap,osm/way/1268243126
Doctors Eye Clinic,optician,5201 Duke Street,Halifax,,Nova Scotia,+1-902-454-2020,http://www.doctorseyeclinic.com/,,44.6501918,-63.5766997,OpenStreetMap,osm/node/2713222713
Gaudet Optical,optician,6465 Quinpool Road,Halifax,B3L 1B1,Nova Scotia,,,,44.6441558,-63.6020838,OpenStreetMap,osm/node/3801263682
Lang Optometry,optician,5550 Kaye Street,Halifax,B3K 1Y5,Nova Scotia,,,,44.6616122,-63.5992286,OpenStreetMap,osm/node/3789805558
Oscar Wylee,optician,7001 Mumford Road,Halifax,,Nova Scotia,,,,44.6495271,-63.6180106,OpenStreetMap,osm/way/1268794332
Pearle Vision,optician,5640 Spring Garden Road,Halifax,,Nova Scotia,,,,44.6425141,-63.5779048,OpenStreetMap,osm/node/2721724526
Sunglass Hut,optician,7001 Mumford Road,Halifax,,Nova Scotia,,,,44.6489951,-63.6186766,OpenStreetMap,osm/way/1268236912
Vogue Optical,optician,1546 Barrington Street,Halifax,B3J 3X7,Nova Scotia,,,,44.6451427,-63.573208,OpenStreetMap,osm/node/3790580700
Vogue Optical,optician,6132 Quinpool Road,Halifax,B3L 1A3,Nova Scotia,+1-902-425-2020,https://www.vogueoptical.com,,44.6457883,-63.5947912,OpenStreetMap,osm/node/5159836721
Vogue Optical,optician,7001 Mumford Road,Halifax,,Nova Scotia,,,,44.6494942,-63.6184935,OpenStreetMap,osm/way/1268236927
Theodore & Pringle Optical,optician,470 Main Street,Kingston,B0P 1R0,Nova Scotia,,,,44.9845176,-64.952361,OpenStreetMap,osm/node/10759838663
Valley Family Optometry,optometry,545 Victoria Drive,Kingston,B0P 1R0,Nova Scotia,+1 902 765-3420,https://valleyfamilyoptometry.ca/,,44.9858016,-64.9485944,OpenStreetMap,osm/way/884550750
Beyond 20/20 Optometry,optometry,1688 Mountain Road,Moncton,E1G 1A6,Nova Scotia,+1-506-858-2020,https://beyond2020optometry.ca/,,46.1181594,-64.8431358,OpenStreetMap,osm/node/9953322944
FYidoctors,optometry,340 Mountain Road,Moncton,E1C 2M6,Nova Scotia,+15063882211,https://fyidoctors.com/pages/fyidoctors-moncton,,46.0958129,-64.7907254,OpenStreetMap,osm/way/575995111
Vogue Optical,optician,1634 Mountain Road,Moncton,,Nova Scotia,,,,46.1172137,-64.8410487,OpenStreetMap,osm/way/279927434
Vogue Optical,optician,521 Main Street,Montague,C0A 1R0,Nova Scotia,+1-902-838-2020,https://vogueoptical.com/find-store/montague/,,46.1701149,-62.6515924,OpenStreetMap,osm/way/1518725422
Vogue Optical,optician,63 Lavinia Street,New Glasgow,,Nova Scotia,+1-902-752-0155,https://vogueoptical.com/,,45.5907066,-62.6482847,OpenStreetMap,osm/node/12628694501
Vogue Optical,optician,125 Provost Street,New Glasgow,B2H 2P6,Nova Scotia,,,,45.5879499,-62.6450281,OpenStreetMap,osm/way/470215819
Prince Edward Optical,optician,120 Germain Street,Saint John,,Nova Scotia,,,,45.2719131,-66.0600506,OpenStreetMap,osm/way/166551494
Vogue Optical,optician,"73,75 King Street",Saint John,,Nova Scotia,,,,45.2735575,-66.0598737,OpenStreetMap,osm/way/165359056
MacLeod Optical & Vision Centre,optician,850 Grand Lake Road,Sydney,B1P 5T9,Nova Scotia,,https://www.macleodoptical.ca/,,46.1493864,-60.1364248,OpenStreetMap,osm/node/7920573607
Vogue Optical,optician,4 Inglis Place,Truro,,Nova Scotia,+1 902-893-3455,,,45.3644863,-63.2767298,OpenStreetMap,osm/node/11361009659
Bay Optometry,optometry,5110 St Margarets Bay Road,Upper Tantallon,B3Z 1E2,Nova Scotia,+1-902-826-1116,https://bayoptometry.ca/,,44.6852565,-63.8751997,OpenStreetMap,osm/node/13086797648
